"","X","corr","aa","tcr"
"323",50,0.111879227211629,"PAM350","14D7"
"324",51,0.0934844243647711,"PAM360","14D7"
"325",52,0.138852576918009,"PAM370","14D7"
"326",53,0.14790092514072,"PAM380","14D7"
"327",54,0.117975966103003,"PAM390","14D7"
"328",55,0.119428649152685,"PAM400","14D7"
"329",56,0.10647973320492,"PAM410","14D7"
"330",57,0.104843920330349,"PAM420","14D7"
"331",58,0.108869156344452,"PAM430","14D7"
"332",59,0.112472530368275,"PAM440","14D7"
"333",60,0.105270443948631,"PAM450","14D7"
"334",61,0.103689883894759,"PAM460","14D7"
"335",62,0.105717214977648,"PAM470","14D7"
"336",63,0.108473650159763,"PAM480","14D7"
"337",64,0.120414551976316,"PAM490","14D7"
"338",65,0.124934757990785,"PAM500","14D7"
"339",66,0.196918983217302,"DAYHOFF","14D7"
"340",67,0.224403019313836,"GONNET","14D7"
"341",0,0.450018754176965,"HAMMING","16A11"
"342",1,0.271328331261742,"BLOSUM62","16A11"
"343",2,0.194463532773507,"BLOSUM30","16A11"
"344",3,0.293994316261359,"BLOSUM35","16A11"
"345",4,0.295845228667581,"BLOSUM40","16A11"
"346",5,0.278477298919093,"BLOSUM45","16A11"
"347",6,0.267199442598043,"BLOSUM50","16A11"
"348",7,0.26322279676593,"BLOSUM55","16A11"
"349",8,0.253031677728948,"BLOSUM60","16A11"
"350",9,0.257893959888368,"BLOSUM65","16A11"
"351",10,0.259930932182839,"BLOSUM70","16A11"
"352",11,0.251128248456056,"BLOSUM75","16A11"
"353",12,0.251414841578406,"BLOSUM80","16A11"
"354",13,0.237040977764973,"BLOSUM85","16A11"
"355",14,0.246319266755761,"BLOSUM90","16A11"
"356",15,0.260577231164487,"BLOSUM100","16A11"
"357",16,0.233497865340019,"PAM10","16A11"
"358",17,0.218976306166313,"PAM20","16A11"
"359",18,0.208684940736907,"PAM30","16A11"
"360",19,0.202513913048241,"PAM40","16A11"
"361",20,0.202494540020946,"PAM50","16A11"
"362",21,0.19466783869837,"PAM60","16A11"
"363",22,0.187143462890661,"PAM70","16A11"
"364",23,0.181442921721976,"PAM80","16A11"
"365",24,0.178802151314584,"PAM90","16A11"
"366",25,0.16831846267833,"PAM100","16A11"
"367",26,0.172515224169226,"PAM110","16A11"
"368",27,0.161116157548993,"PAM120","16A11"
"369",28,0.185230217043613,"PAM130","16A11"
"370",29,0.180558512265516,"PAM140","16A11"
"371",30,0.176274733309376,"PAM150","16A11"
"372",31,0.165625070471205,"PAM160","16A11"
"373",32,0.209639955945971,"PAM170","16A11"
"374",33,0.22226474730526,"PAM180","16A11"
"375",34,0.183100571015293,"PAM190","16A11"
"376",35,0.165311740518261,"PAM200","16A11"
"377",36,0.199982602748438,"PAM210","16A11"
"378",37,0.189064698219594,"PAM220","16A11"
