"","X","WS","NS","NW","aa_matrix","tcr","mean_auc"
"74",5,0.782142857142857,0.942721751932278,0.71849685402317,"BLOSUM45","12A11",0.814453821032768
"75",6,0.787585034013605,0.940706661759293,0.716910501778923,"BLOSUM50","12A11",0.815067399183941
"76",7,0.787585034013605,0.942139439507861,0.732969442837864,"BLOSUM55","12A11",0.820897972119777
"77",8,0.798044217687075,0.943986715039347,0.749677077308656,"BLOSUM60","12A11",0.830569336678359
"78",9,0.812670068027211,0.942023765707976,0.744675938096991,"BLOSUM65","12A11",0.833123257277393
"79",10,0.812670068027211,0.942939516623727,0.746886227807281,"BLOSUM70","12A11",0.834165270819406
"80",11,0.800425170068027,0.945985593354014,0.753229445992604,"BLOSUM75","12A11",0.833213403138215
"81",12,0.817517006802721,0.947817095185516,0.738401072611599,"BLOSUM80","12A11",0.834578391533279
"82",13,0.789965986394558,0.946968820653031,0.760128906181538,"BLOSUM85","12A11",0.832354571076376
"83",14,0.781462585034014,0.939108260160892,0.77527625882889,"BLOSUM90","12A11",0.831949034674599
"84",15,0.81734693877551,0.948016895385316,0.758205610179294,"BLOSUM100","12A11",0.84118981478004
"85",16,0.774319727891156,0.950632700632701,0.761240952030426,"PAM10","12A11",0.828731126851427
"86",17,0.772278911564626,0.945054506896612,0.746768144136565,"PAM20","12A11",0.821367187532601
"87",18,0.766156462585034,0.944854706696812,0.7424663056242,"PAM30","12A11",0.817825824968682
"88",19,0.772108843537415,0.94007659007659,0.738738892686261,"PAM40","12A11",0.816974775433422
"89",20,0.773554421768707,0.937329337329337,0.738451460819882,"PAM50","12A11",0.816445073305975
"90",21,0.749659863945578,0.927339327339327,0.732345505371821,"PAM60","12A11",0.803114898885576
"91",22,0.774149659863946,0.929636591478697,0.739025886394307,"PAM70","12A11",0.814270712578983
"92",23,0.786819727891157,0.921861033703139,0.73128362865205,"PAM80","12A11",0.813321463415448
"93",24,0.79702380952381,0.917822090190511,0.725177235045656,"PAM90","12A11",0.813341044919992
"94",25,0.786989795918367,0.918165168165168,0.717147983595352,"PAM100","12A11",0.807434315892963
"95",26,0.761224489795918,0.914867588551799,0.73330704383336,"PAM110","12A11",0.803133040727026
"96",27,0.765391156462585,0.909572883257094,0.738451898978215,"PAM120","12A11",0.804471979565964
"97",28,0.769472789115646,0.908614192824719,0.716886403070614,"PAM130","12A11",0.798324461670326
"98",29,0.765986394557823,0.89567625357099,0.730247165115586,"PAM140","12A11",0.797303271081467
"99",30,0.751615646258504,0.886210719105456,0.729984927353348,"PAM150","12A11",0.789270430905769
"100",31,0.759778911564626,0.89427020348073,0.717434977303398,"PAM160","12A11",0.790494697449585
"101",32,0.77015306122449,0.891672800883327,0.716524046129309,"PAM170","12A11",0.792783302745709
"102",33,0.761819727891156,0.886477119371856,0.725515055120318,"PAM180","12A11",0.791270634127777
"103",34,0.761819727891156,0.873654853918012,0.708494794679005,"PAM190","12A11",0.781323125496058
"104",35,0.755697278911565,0.873621553884712,0.697581146923252,"PAM200","12A11",0.775633326573176
"105",36,0.751530612244898,0.875486355749514,0.706184604868815,"PAM210","12A11",0.777733857621076
"106",37,0.743367346938775,0.869891073838442,0.706234554918766,"PAM220","12A11",0.773164325231995
"107",38,0.75578231292517,0.862965543228701,0.688539530644794,"PAM230","12A11",0.769095795599555
"108",39,0.743622448979592,0.865463922042869,0.685942566205724,"PAM240","12A11",0.765009645742728
"109",40,0.751785714285714,0.864381670960618,0.684356871198976,"PAM250","12A11",0.766841418815103
"110",41,0.747448979591837,0.858387664966612,0.687291436633542,"PAM260","12A11",0.764376027063997
"111",42,0.769472789115646,0.85760336155073,0.693922086685245,"PAM270","12A11",0.773666079117207
"112",43,0.750085034013605,0.846413674045253,0.688203244124297,"PAM280","12A11",0.761567317394385
"113",44,0.758418367346939,0.848794626426205,0.683732714653767,"PAM290","12A11",0.763648569475637
"114",45,0.739200680272109,0.832477610109189,0.687915812257917,"PAM300","12A11",0.753198034213072
"115",46,0.734948979591837,0.831212208843788,0.690125882889041,"PAM310","12A11",0.752095690441555
"116",47,0.7,0.827391906339275,0.680510498273656,"PAM320","12A11",0.73596746820431
"117",48,0.715646258503401,0.820656974604343,0.670895551816604,"PAM330","12A11",0.735732928308116
"118",49,0.714455782312925,0.796397900345269,0.653875072296125,"PAM340","12A11",0.72157625165144
"119",50,0.742176870748299,0.818290919606709,0.663253413253413,"PAM350","12A11",0.741240401202807
"120",51,0.722108843537415,0.80409678041257,0.66029343463554,"PAM360","12A11",0.728833019528508
"121",52,0.713265306122449,0.799410677042256,0.659045121545122,"PAM370","12A11",0.723907034903275
"122",53,0.715816326530612,0.767483393799183,0.635556329635277,"PAM380","12A11",0.706285349988358
"123",54,0.71530612244898,0.767408468724258,0.626902921639764,"PAM390","12A11",0.703205837604334
"124",55,0.723554421768707,0.758956832641043,0.63171039486829,"PAM400","12A11",0.704740549759347
"125",56,0.749829931972789,0.776024852340642,0.628850535429483,"PAM410","12A11",0.718235106580971
"126",57,0.71530612244898,0.767491718807508,0.626353909248646,"PAM420","12A11",0.703050583501711
"127",58,0.723639455782313,0.762028760712971,0.626303521040363,"PAM430","12A11",0.703990579178549
"128",59,0.723639455782313,0.759023432707643,0.635581304660252,"PAM440","12A11",0.706081397716736
"129",60,0.717517006802721,0.762844611528822,0.632409914646757,"PAM450","12A11",0.704257177659433
"130",61,0.747448979591837,0.756375203743625,0.622120423436213,"PAM460","12A11",0.708648202257225
"131",62,0.723554421768707,0.748750372434583,0.615651672888515,"PAM470","12A11",0.695985489030602
"132",63,0.740221088435374,0.750605972974394,0.613728595965438,"PAM480","12A11",0.701518552458402
"133",64,0.726700680272109,0.756192053560474,0.627889654205444,"PAM490","12A11",0.703594129346009
"134",65,0.726700680272109,0.753994251362672,0.627889654205444,"PAM500","12A11",0.702861528613408
"135",66,0.751785714285714,0.86566372224267,0.687865643128801,"DAYHOFF","12A11",0.768438359885728
"136",67,0.766836734693878,0.867291480449375,0.721855337644811,"GONNET","12A11",0.785327850929355
"137",0,0.6845,0.931025641025641,0.873671652421652,"HAMMING","13A10",0.829732431149098
"138",1,0.695333333333333,0.931125356125356,0.847022792022792,"BLOSUM62","13A10",0.824493827160494
"139",2,0.692,0.915484330484331,0.865128205128205,"BLOSUM30","13A10",0.824204178537512
"140",3,0.639666666666667,0.918518518518519,0.848304843304843,"BLOSUM35","13A10",0.802163342830009
"141",4,0.653666666666667,0.922165242165242,0.868340455840456,"BLOSUM40","13A10",0.814724121557455
