,0
379,5954.599086564853
380,6634.193033734922
381,3732.9589743945703
382,4007.542357493477
383,4006.679066014907
384,3457.787728336401
385,3693.476901184286
386,3366.982589749163
387,4211.276512027363
388,6163.519522548411
389,3725.4996457770862
390,3931.7677360118055
391,4164.058107978292
392,4680.760168443992
393,4544.795983799313
394,3075.3288109235664
395,3351.982045954938
396,3479.4599890004138
397,2875.576270528342
398,3891.032744122874
399,4954.412733092338
400,4351.015296944824
401,6165.246849811065
402,3488.3701034768696
403,4040.2662115097855
404,3954.1345592633324
405,3156.401507588482
406,3811.9624462673983
407,4591.112557355678
408,5260.939052923751
409,3850.5919631881206
410,2911.0429742763745
411,3058.9038708913968
412,3249.4787519178253
413,4123.976447913037
414,2888.210187080676
415,3696.703671549406
416,3104.5850645756127
417,3389.8656023304447
418,3962.137943801217
419,3417.5604180841956
420,10915.733807093526
421,3393.512598543882
422,3847.860605349788
423,4629.314107012167
424,2936.335057402848
425,3648.8350575854693
426,3861.8962702671297
427,3728.8891007830293
428,3959.2028850744355
429,3667.3260244992653
430,4856.4786602501445
431,4029.15706818379
432,5183.862913119665
433,7960.953834566732
434,3881.624432300321
435,4654.611286715979
436,3968.484464533615
437,4585.777699325592
438,4936.077551764969
439,3569.5088862773982
440,3177.9051004015896
441,5484.2020512534755
442,4660.448515102535
443,4116.211738983026
444,4180.498666395987
445,4658.004571718628
446,3565.878698826533
447,3648.2772648073333
448,3838.510726598902
449,3787.3780209816205
450,3598.2425920826445
451,3776.4854021166457
452,3496.0015973450554
453,3971.130011239452
454,3923.349838469831
455,4254.899532439476
456,3384.9885613143947
457,3364.3332546618194
458,3036.278426642099
459,3944.2113975731727
460,4476.6918606321
461,3802.915158950789
462,3398.8283993125187
463,3463.9074011175494
464,5749.204857259958
465,3746.2529608450805
466,3923.2977706573542
467,3276.5039031925726
468,3285.6797807849402
469,4625.857866451805
470,4894.08513926469
471,3256.8426497099053
472,3397.33735264782
473,2864.464605963921
474,3292.0195647243427
475,6314.731860660612
476,3914.547837618859
477,3724.3027355164536
478,4621.127104297213
479,3033.4594868800023
480,3371.333040297486
481,3477.1099061861396
482,4117.3484942254445
483,4476.041481390782
484,4926.972181588479
485,2965.492310149296
486,3073.6739377897356
487,3496.1219235236003
488,3669.679726917529
489,4162.024920515451
490,3328.5025887170373
491,3620.950476355146
492,3995.371150468927
493,2660.01795311254
494,4177.728488322317
495,4476.674681356179
496,2990.5763968504125
497,4040.338243367273
498,3461.7655975430735
499,4190.255018437212
500,4640.961930748362
501,4025.602768779464
502,3756.759336986178
503,3978.6760352420974
504,3439.3866409935526
505,7473.058705909795
506,3663.2875437796433
507,5489.782687307078
508,4137.385654193846
509,4316.316689723478
510,3236.636085904581
511,3387.309392027693
512,3970.4974915986063
513,3530.924593009374
514,3981.0334833728994
515,3926.2801671977077
516,3135.1618589692243
517,3960.736039107442
518,6446.1395030124495
519,2773.6184396865374
520,4241.138814757401
521,3047.3338290754045
522,3200.242832807051
523,3491.4948398104602
524,3085.147715641902
525,3600.342543963775
526,3854.8092698761993
527,4402.3486312551195
528,3871.3678981421886
529,3532.6992583477763
530,3104.3292943634465
531,3260.355819678154
532,4068.4489343106407
533,4708.8705740206
534,7006.041637753058
535,2881.717185052054
536,3668.3186607782823
537,4229.4554208341415
538,10045.320964806962
539,4525.829308432808
540,3779.4087138948835
541,4195.2772439177625
542,3610.988108783682
543,2992.009372877203
