"","tcr","AUC","type","test"
"173","T1",0.705914247580914,"BATMAN (BLOSUM100)","LOO TCR"
"174","FLT3DY",0.578019992773696,"BATMAN (BLOSUM100)","LOO TCR"
"175","A23",0.775056669052732,"BATMAN (BLOSUM100)","LOO TCR"
"176","TCR2-T",0.572428682219288,"BATMAN (BLOSUM100)","LOO TCR"
"177","R24",0.683312694660212,"BATMAN (BLOSUM100)","LOO TCR"
"178","868Z11",0.703470387680914,"BATMAN (BLOSUM100)","LOO TCR"
"179","TCR-1E6",0.660460147088054,"BATMAN (BLOSUM100)","LOO TCR"
"180","APN-TCR",0.586116880119995,"BATMAN (BLOSUM100)","LOO TCR"
"181","EWW-TCR",0.561637001078749,"BATMAN (BLOSUM100)","LOO TCR"
"182","A11Va",0.674460978835979,"BATMAN (BLOSUM100)","LOO TCR"
"183","TCR-F5",NA,"BATMAN (BLOSUM100)","LOO TCR"
"184","TCR-3598-2",NA,"BATMAN (BLOSUM100)","LOO TCR"
"185","MBP-TCR",NA,"BATMAN (BLOSUM100)","LOO TCR"
"186","B3K508",NA,"BATMAN (BLOSUM100)","LOO TCR"
