"","al_round","tcr","auc","al_type"
"470","6","FLT3DY",0.750341961290859,"Random after step 2"
"471","7","FLT3DY",0.766389221084269,"Random after step 2"
"472","8","FLT3DY",0.771185215190829,"Random after step 2"
"473","9","FLT3DY",0.777740584613246,"Random after step 2"
"474","10","FLT3DY",0.788260864684927,"Random after step 2"
"475","1","A23",0.718916104146577,"Random after step 2"
"476","2","A23",0.780887299771167,"Random after step 2"
"477","3","A23",0.838823161390808,"Random after step 2"
"478","4","A23",0.847178311436759,"Random after step 2"
"479","5","A23",0.849892349070204,"Random after step 2"
"480","6","A23",0.852843163137605,"Random after step 2"
"481","7","A23",0.856864295817857,"Random after step 2"
"482","8","A23",0.85945299025982,"Random after step 2"
"483","9","A23",0.857791276245318,"Random after step 2"
"484","10","A23",0.85685554365028,"Random after step 2"
"485","1","TCR2-T",0.646088639762307,"Random after step 2"
"486","2","TCR2-T",0.677377494755782,"Random after step 2"
"487","3","TCR2-T",0.688646033789179,"Random after step 2"
"488","4","TCR2-T",0.695919734660365,"Random after step 2"
"489","5","TCR2-T",0.706975701526906,"Random after step 2"
"490","6","TCR2-T",0.712946080324027,"Random after step 2"
"491","7","TCR2-T",0.718020301333221,"Random after step 2"
"492","8","TCR2-T",0.720810137151716,"Random after step 2"
"493","9","TCR2-T",0.721394573919109,"Random after step 2"
"494","10","TCR2-T",0.723734429145508,"Random after step 2"
"495","1","868Z11",0.740641594809186,"Random after step 2"
"496","2","868Z11",0.742152017060903,"Random after step 2"
"497","3","868Z11",0.736961994856328,"Random after step 2"
"498","4","868Z11",0.747514188192414,"Random after step 2"
"499","5","868Z11",0.747643262019822,"Random after step 2"
"500","6","868Z11",0.751094690879979,"Random after step 2"
"501","7","868Z11",0.750978721605534,"Random after step 2"
"502","8","868Z11",0.747607287299863,"Random after step 2"
"503","9","868Z11",0.742394187610087,"Random after step 2"
"504","10","868Z11",0.739107336992005,"Random after step 2"
