"","tcr","auc","fpeptide","pooling"
"247","TCR2-T",0.797579931340801,1,"BATMAN unpooled"
"248","TCR6",0.799726854529486,1,"BATMAN unpooled"
"249","TCR7",0.790121481389424,1,"BATMAN unpooled"
"250","TCR81-14",0.787029128279128,1,"BATMAN unpooled"
"251","TIL1383I",0.749495541495541,1,"BATMAN unpooled"
"252","a3a",0.876573734907068,1,"BATMAN unpooled"
"253","18A2",0.693389854214845,0.1,"pTEAM"
"254","868Z11",0.652621163199579,0.1,"pTEAM"
"255","A11Va",0.719473338037272,0.1,"pTEAM"
"256","A23",0.648966595126328,0.1,"pTEAM"
"257","A6",0.618976009773571,0.1,"pTEAM"
"258","APN-TCR",0.675937348652148,0.1,"pTEAM"
"259","EWW-TCR",0.746871487753816,0.1,"pTEAM"
"260","FLT3DY",0.682953264703826,0.1,"pTEAM"
"261","NYE-S1",0.683701020886822,0.1,"pTEAM"
"262","R24",0.729719392423197,0.1,"pTEAM"
"263","T1",0.833226941128695,0.1,"pTEAM"
"264","TCR-1E6",0.706147403127923,0.1,"pTEAM"
"265","TCR2-T",0.65512245595894,0.1,"pTEAM"
"266","TCR6",0.697890804697393,0.1,"pTEAM"
"267","TCR7",0.667825626695783,0.1,"pTEAM"
"268","TCR81-14",0.668942317243948,0.1,"pTEAM"
"269","TIL1383I",0.675625771169249,0.1,"pTEAM"
"270","a3a",0.866456438422018,0.1,"pTEAM"
"271","18A2",0.755241639399425,0.2,"pTEAM"
"272","868Z11",0.679584467741775,0.2,"pTEAM"
"273","A11Va",0.753781392864557,0.2,"pTEAM"
"274","A23",0.68413715153514,0.2,"pTEAM"
"275","A6",0.649078278561902,0.2,"pTEAM"
"276","APN-TCR",0.688290896615568,0.2,"pTEAM"
"277","EWW-TCR",0.763816600346903,0.2,"pTEAM"
"278","FLT3DY",0.728807187402887,0.2,"pTEAM"
"279","NYE-S1",0.714790693392256,0.2,"pTEAM"
"280","R24",0.796432713377158,0.2,"pTEAM"
"281","T1",0.826223933467276,0.2,"pTEAM"
"282","TCR-1E6",0.702419617715675,0.2,"pTEAM"
"283","TCR2-T",0.70004795349578,0.2,"pTEAM"
"284","TCR6",0.72016731153025,0.2,"pTEAM"
"285","TCR7",0.702505306868772,0.2,"pTEAM"
"286","TCR81-14",0.697931821650572,0.2,"pTEAM"
"287","TIL1383I",0.699371695896696,0.2,"pTEAM"
"288","a3a",0.881369807918419,0.2,"pTEAM"
"289","18A2",0.75468922537826,0.3,"pTEAM"
"290","868Z11",0.675642550697179,0.3,"pTEAM"
"291","A11Va",0.754984715519533,0.3,"pTEAM"
"292","A23",0.681688827137103,0.3,"pTEAM"
"293","A6",0.652343198264154,0.3,"pTEAM"
"294","APN-TCR",0.704398452092092,0.3,"pTEAM"
"295","EWW-TCR",0.79059654171586,0.3,"pTEAM"
"296","FLT3DY",0.75053523478492,0.3,"pTEAM"
"297","NYE-S1",0.726037678467366,0.3,"pTEAM"
"298","R24",0.816943018144407,0.3,"pTEAM"
"299","T1",0.812023494991417,0.3,"pTEAM"
"300","TCR-1E6",0.716392526900526,0.3,"pTEAM"
"301","TCR2-T",0.732985106881846,0.3,"pTEAM"
"302","TCR6",0.741991473966255,0.3,"pTEAM"
"303","TCR7",0.706653902030098,0.3,"pTEAM"
"304","TCR81-14",0.706447853072853,0.3,"pTEAM"
"305","TIL1383I",0.711005574980575,0.3,"pTEAM"
"306","a3a",0.89267062644146,0.3,"pTEAM"
"307","18A2",0.781234722802376,0.4,"pTEAM"
"308","868Z11",0.695397913185742,0.4,"pTEAM"
"309","A11Va",0.772524899281725,0.4,"pTEAM"
"310","A23",0.689986787690811,0.4,"pTEAM"
"311","A6",0.672385888843776,0.4,"pTEAM"
"312","APN-TCR",0.716454145645209,0.4,"pTEAM"
"313","EWW-TCR",0.808561535266081,0.4,"pTEAM"
"314","FLT3DY",0.788010752500212,0.4,"pTEAM"
"315","NYE-S1",0.737375036421911,0.4,"pTEAM"
"316","R24",0.830181170167281,0.4,"pTEAM"
"317","T1",0.813061096203967,0.4,"pTEAM"
"318","TCR-1E6",0.724421221488021,0.4,"pTEAM"
"319","TCR2-T",0.758887958981437,0.4,"pTEAM"
"320","TCR6",0.756984631718184,0.4,"pTEAM"
"321","TCR7",0.714301758676502,0.4,"pTEAM"
"322","TCR81-14",0.726238266363266,0.4,"pTEAM"
"323","TIL1383I",0.726896608946609,0.4,"pTEAM"
"324","a3a",0.889729047958215,0.4,"pTEAM"
"325","18A2",0.797139688921377,0.5,"pTEAM"
"326","868Z11",0.719485413683017,0.5,"pTEAM"
"327","A11Va",0.788252502446886,0.5,"pTEAM"
"328","A23",0.692048759935254,0.5,"pTEAM"
"329","A6",0.671179358668664,0.5,"pTEAM"
"330","APN-TCR",0.72803720561947,0.5,"pTEAM"
"331","EWW-TCR",0.816405897904004,0.5,"pTEAM"
"332","FLT3DY",0.805234308473754,0.5,"pTEAM"
"333","NYE-S1",0.761024085000647,0.5,"pTEAM"
"334","R24",0.840330256934424,0.5,"pTEAM"
"335","T1",0.793437703718244,0.5,"pTEAM"
"336","TCR-1E6",0.749106893229549,0.5,"pTEAM"
"337","TCR2-T",0.773807710888146,0.5,"pTEAM"
